day;Cases_Berlin;Cases_London;Cases_NewYork;Death_Berlin;Death_London;Death_NewYork
1;8;77;65;94;73;79
2;77;2;96;92;50;89
3;80;79;49;62;3;95
4;95;27;65;50;36;84
5;87;59;93;26;43;45
6;27;6;55;66;75;9
7;37;14;9;65;73;40
8;52;36;3;81;48;5
9;26;85;33;94;92;75
10;17;13;8;53;25;95
11;3;61;41;37;10;48
12;51;4;42;74;80;86
13;65;65;74;49;7;54
14;31;73;100;28;17;97
15;32;93;84;82;75;40
16;38;8;10;75;23;80
17;28;66;56;37;88;71
18;40;75;64;24;24;94
19;45;57;98;32;27;89
20;76;13;76;99;97;63
21;61;89;89;97;32;84
22;94;63;33;64;36;44
23;15;23;26;62;13;62
24;40;83;87;79;91;25
25;58;61;32;95;49;41
26;9;92;6;36;67;79
27;53;82;62;94;61;29
28;93;4;71;79;97;50
29;61;10;68;48;72;45
30;65;14;74;91;92;36
31;99;69;21;36;62;20
32;4;95;55;100;71;81
33;75;71;26;88;64;15
34;25;15;10;67;90;81
35;56;26;72;62;9;70
36;30;23;8;26;29;84
37;68;68;39;60;35;82
38;87;81;48;4;47;36
39;80;40;89;74;29;67
40;59;71;92;86;36;34
41;7;3;39;90;8;67
42;45;58;37;52;27;68
43;42;4;5;17;58;99
44;2;87;20;97;55;31
45;69;44;99;30;2;82
46;89;14;34;83;94;13
47;71;2;36;29;55;80
48;48;95;52;15;46;84
49;11;1;78;38;73;59
