id;year;month;element;d1;d2;d3;d4;d5;d6;d7;d8;d9
1;2001;1;tmax;23;5;6;26;18;19;21;14;9
1;2001;2;tmin;16;21;30;15;7;21;26;16;3
1;2001;3;tmax;3;4;25;28;15;19;10;4;19
1;2001;4;tmin;16;28;8;16;26;6;16;23;14
1;2001;5;tmax;28;28;20;8;11;;15;14;18
1;2001;6;tmin;;8;3;19;6;7;14;24;3
1;2001;7;tmax;5;2;7;17;23;22;3;3;15
1;2001;8;tmin;26;29;22;23;3;23;6;26;15
1;2001;9;tmax;25;23;23;28;20;6;30;25;3
1;2001;10;tmin;30;2;13;24;12;30;16;12;
1;2001;11;tmax;5;13;;22;23;25;4;19;
1;2001;12;tmin;27;12;15;26;26;11;3;29;17
2;2002;1;tmax;23;3;29;19;18;28;15;23;9
2;2002;2;tmin;20;24;28;9;;;19;17;20
2;2002;3;tmax;28;6;7;30;;;7;20;6
2;2002;4;tmin;30;27;24;1;;;3;18;4
2;2002;5;tmax;18;12;17;27;;;11;9;17
2;2002;6;tmin;7;;16;26;;;6;3;12
2;2002;7;tmax;8;;29;4;1;28;7;27;4
2;2002;8;tmin;12;;5;5;1;18;27;21;21
2;2002;9;tmax;18;;7;12;13;18;8;25;29
2;2002;10;tmin;30;;6;25;13;10;12;9;4
2;2002;11;tmax;28;14;30;24;23;17;11;18;24
2;2002;12;tmin;25;9;26;5;4;4;27;21;2
3;2003;1;tmax;10;23;14;8;25;10;5;30;20
3;2003;2;tmin;21;25;30;14;10;3;10;17;23
3;2003;3;tmax;24;13;8;;;;26;6;29
3;2003;4;tmin;19;26;3;4;11;13;27;21;11
3;2003;5;tmax;18;1;6;28;8;3;5;18;15
3;2003;6;tmin;26;16;5;9;28;30;1;5;2
3;2003;7;tmax;7;7;7;26;5;10;10;3;13
3;2003;8;tmin;5;17;9;26;25;30;29;7;29
3;2003;9;tmax;19;;;20;27;21;20;20;21
3;2003;10;tmin;16;19;26;25;21;10;3;30;5
3;2003;11;tmax;16;23;13;15;5;8;10;24;17
3;2003;12;tmin;4;7;7;25;3;28;25;2;24
